Order_Item_Id,Ingredient_ID,Quantity_Used
0,43,3
1,40,3
3,40,3
5,44,3
6,40,3
6,37,3
7,44,3
7,41,1
8,38,1
8,37,3
9,38,1
9,43,2
12,42,3
13,43,1
14,38,1
14,44,1
15,37,1
15,41,1
16,37,1
16,42,1
17,44,1
17,43,2
21,37,1
24,37,3
24,43,1
28,37,2
28,43,1
29,37,3
29,44,3
30,39,3
32,41,3
32,40,3
33,43,3
33,41,2
34,43,2
34,38,1
35,39,3
35,44,2
36,38,1
36,40,3
37,44,1
37,37,3
39,44,1
41,41,2
41,40,1
43,44,2
44,39,3
45,41,1
45,39,3
46,42,2
46,42,2
48,37,1
48,42,3
53,38,3
54,39,2
54,41,1
56,37,3
60,39,1
60,37,3
61,40,1
62,40,1
63,44,1
63,44,1
65,38,3
66,42,1
66,37,1
67,38,3
67,41,1
68,40,3
69,44,1
71,42,2
72,37,3
72,43,2
74,42,1
77,42,1
77,41,1
79,43,1
81,44,1
81,42,3
84,42,1
86,39,3
87,38,1
88,38,2
89,43,3
89,40,1
90,38,1
90,40,1
91,43,2
94,39,2
96,38,1
103,39,3
104,40,3
104,39,3
105,42,1
107,37,3
108,43,3
110,42,2
111,37,2
111,43,2
112,39,3
113,37,2
113,37,2
114,42,2
116,39,3
117,43,2
118,43,2
118,44,1
119,43,3
119,40,3
121,38,2
121,38,3
122,40,1
122,43,2
124,44,1
128,43,2
128,40,1
129,40,2
129,40,3
130,41,2
130,43,3
132,41,2
134,44,1
134,42,2
135,44,3
135,43,2
136,41,1
136,43,2
141,39,3
141,38,2
142,41,3
142,37,1
143,42,3
144,37,1
145,41,3
145,40,1
146,38,2
146,44,3
147,44,2
147,42,3
149,41,1
150,39,2
150,37,1
151,44,3
151,43,2
152,39,1
153,38,3
154,43,1
154,41,3
156,41,2
158,43,2
158,38,1
159,44,1
162,42,3
163,41,1
163,43,2
164,38,3
165,42,3
165,42,3
166,43,3
167,38,3
168,38,1
168,39,3
169,42,2
169,40,1
170,38,2
171,41,1
171,44,1
172,42,1
172,40,1
173,40,1
173,40,1
174,41,1
174,44,2
176,43,3
176,38,1
177,40,2
177,38,1
178,39,3
178,40,3
179,43,1
179,42,2
180,44,1
181,42,1
182,42,3
186,37,1
186,42,2
187,41,3
187,41,2
188,44,1
188,38,1
191,39,1
191,40,3
193,42,3
193,41,2
195,37,2
197,41,1
197,41,3
198,43,1
198,43,3
199,41,3
200,38,2
201,39,3
202,41,3
202,44,2
205,44,2
207,38,3
209,40,2
209,43,3
211,41,1
211,40,1
213,39,3
214,42,1
214,39,2
215,38,2
216,39,1
217,38,1
218,40,1
219,40,2
219,42,3
220,41,1
220,39,2
222,39,1
223,42,2
224,39,1
224,38,2
225,39,1
225,42,1
227,37,3
227,37,2
228,43,2
229,44,1
229,41,3
232,44,3
234,44,2
235,41,2
236,38,3
236,37,3
237,38,3
241,39,1
244,38,1
